time_shelter,animal_id,animal_type,breed,color,name,outcome_type,sex_upon_outcome,sex,Spay/Neuter,Periods,Cat/Kitten (outcome),dob_year,dob_month,outcome_month,domestic_breed,coat_pattern
2 weeks,A684346,Cat,domestic shorthair,orange,,Transfer,Intact Male,Male,No,2,Kitten,2014,7,7,True,tabby
1 month,A685067,Cat,domestic shorthair,blue /white,Lucy,Adoption,Intact Female,Female,No,1,Kitten,2014,6,8,True,tabby
3 months,A678580,Cat,domestic shorthair,white/black,*Frida,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,3,6,True,
1 year,A675405,Cat,domestic mediumhair,black/white,Stella Luna,Return to Owner,Spayed Female,Female,Yes,1,Cat,2013,3,3,True,
3 weeks,A670420,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,3,Kitten,2013,12,1,True,
2 months,A684460,Cat,domestic shorthair,brown,Elsa,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,6,8,True,tabby
8 months,A673952,Cat,domestic shorthair,brown /white,,Transfer,Unknown,Female,Yes,8,Cat,2013,7,3,True,tabby
5 months,A686497,Cat,domestic shorthair,black,Chester,Adoption,Neutered Male,Male,Yes,5,Kitten,2014,3,8,True,tabby
2 months,A687965,Cat,domestic shorthair,orange,*Oliver,Adoption,Neutered Male,Male,Yes,2,Kitten,2014,8,10,True,tabby
1 year,A668547,Cat,domestic mediumhair,black/white,*Preston,Transfer,Neutered Male,Male,Yes,1,Cat,2012,12,12,True,
2 months,A682393,Cat,siamese,seal,*Bumble,Transfer,Intact Female,Female,No,2,Kitten,2014,4,7,False,point
2 weeks,A681039,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,2,Kitten,2014,5,6,True,
2 months,A682532,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,2,Kitten,2014,4,7,True,torbie
3 months,A683779,Cat,domestic shorthair,black,,Adoption,Spayed Female,Female,Yes,3,Kitten,2014,4,7,True,
3 weeks,A686829,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,3,Kitten,2014,8,8,True,
3 years,A617061,Cat,domestic mediumhair,orange,Pumpkin,Died,Neutered Male,Male,Yes,3,Cat,2011,8,9,True,tabby
